date,product,region,units,revenue
2026-03-30,widget-c,US,97,3068.78
2026-02-15,gadget-x,EU,79,3532.2
2026-04-05,gadget-y,US,96,3443.98
2026-02-19,widget-b,APAC,89,3254.71
2026-02-18,gadget-x,LATAM,88,1979.66
2026-03-12,widget-a,EU,96,1924.19
2026-03-21,gadget-x,US,82,3130.36
2026-03-24,widget-c,US,100,3898.66
2026-01-25,widget-c,LATAM,23,1134.55
2026-01-10,widget-b,US,95,2901.67
2026-02-18,widget-a,LATAM,36,1161.14
2026-01-17,widget-b,APAC,1,23.21
2026-04-01,widget-b,EU,20,942.7
2026-03-18,widget-a,APAC,63,2619.94
2026-03-12,widget-c,EU,91,2066.1
2026-01-29,widget-b,EU,65,1063.71
2026-03-11,gadget-y,LATAM,12,287.59
2026-01-28,widget-c,APAC,47,1021.45
2026-04-07,gadget-y,LATAM,72,3091.5
2026-03-25,widget-a,EU,86,2049.41
2026-01-31,gadget-y,US,6,223.75
2026-02-11,gadget-x,EU,50,1012.68
2026-04-03,widget-c,EU,67,2872.58
2026-02-17,gadget-y,LATAM,63,739.88
2026-03-25,widget-b,APAC,66,876.73
2026-01-13,widget-b,EU,81,1021.32
2026-03-27,widget-b,LATAM,14,254.98
2026-03-31,gadget-x,EU,96,3593.45
2026-01-04,gadget-x,APAC,5,67.45
2026-01-07,widget-b,APAC,72,922.15
2026-01-30,widget-c,LATAM,50,1401.75
2026-02-21,gadget-x,APAC,3,76.71
2026-01-16,gadget-y,EU,83,3220.52
2026-01-09,gadget-y,EU,90,3952.8
2026-02-15,gadget-y,EU,38,1575.7
2026-02-08,gadget-y,EU,37,1502.24
2026-02-26,gadget-x,LATAM,85,953.94
2026-01-21,gadget-y,US,18,717.48
2026-03-11,widget-c,US,39,1446.18
2026-04-04,widget-c,EU,71,3193.63
2026-01-19,widget-a,EU,1,32.9
2026-02-20,gadget-y,EU,40,735.68
2026-04-05,widget-c,US,53,2449.4
2026-03-07,widget-b,US,24,451.72
2026-02-02,widget-b,EU,24,883.9
2026-03-14,widget-a,LATAM,83,2654.06
2026-02-07,widget-a,APAC,13,232.53
2026-03-16,gadget-x,APAC,46,695.46
2026-03-25,widget-b,EU,37,1286.51
2026-01-25,widget-c,LATAM,58,1341.18
2026-03-26,widget-c,US,73,2384.51
2026-02-10,gadget-x,US,1,22.52
2026-04-11,widget-b,LATAM,36,1569.4
2026-01-18,widget-c,LATAM,60,1668.26
2026-04-10,widget-c,LATAM,71,1018.37
2026-03-24,gadget-y,EU,36,1596.19
2026-01-18,gadget-y,US,34,1337.28
2026-03-22,widget-a,EU,3,131.92
2026-03-22,widget-a,LATAM,99,3325.55
2026-01-05,gadget-y,APAC,70,3202.46
2026-03-11,gadget-x,US,47,1207.43
2026-04-09,gadget-y,APAC,18,514.4
2026-03-07,widget-a,LATAM,47,1413.6
2026-03-26,widget-b,US,97,2963.88
2026-02-27,widget-b,US,73,3499.51
2026-03-26,widget-b,LATAM,46,533.91
2026-04-08,gadget-x,US,9,185.08
2026-01-30,widget-a,US,67,3102.04
2026-02-16,gadget-x,LATAM,59,2669.87
2026-01-06,widget-c,EU,91,4434.22
2026-03-23,widget-c,APAC,75,2382.3
2026-01-23,gadget-x,LATAM,47,1574.37
2026-01-10,gadget-y,APAC,49,2395.95
2026-01-29,gadget-y,LATAM,46,1963.26
2026-02-14,gadget-x,LATAM,78,799.8
2026-01-18,gadget-x,US,30,392.21
2026-03-24,widget-c,US,20,349.32
2026-02-16,gadget-y,EU,85,1632.33
2026-02-12,widget-a,LATAM,87,2535.4
2026-01-27,gadget-y,US,83,3595.94
2026-01-03,widget-b,EU,17,559.8
2026-01-21,widget-b,EU,74,1173.98
2026-01-22,widget-c,US,67,3237.41
2026-03-18,gadget-y,EU,93,3637.13
2026-02-06,widget-a,US,58,1986.56
2026-03-02,gadget-x,US,29,1252.93
2026-03-18,widget-b,US,80,2910.08
2026-02-03,widget-b,APAC,59,1997.23
2026-01-09,widget-b,LATAM,50,763.93
2026-01-03,widget-b,LATAM,20,684.21
2026-01-23,gadget-x,EU,69,2078.5
2026-01-16,widget-a,LATAM,85,1292.27
2026-03-19,gadget-y,EU,100,3713.24
2026-02-25,gadget-y,LATAM,48,2159.18
2026-03-31,gadget-y,LATAM,30,1425.81
2026-03-03,gadget-x,APAC,76,3205.29
2026-04-08,gadget-y,EU,55,843.99
2026-03-03,widget-b,EU,37,1255.1
2026-03-11,gadget-x,APAC,25,255.22
2026-04-06,widget-a,EU,67,688.61
2026-03-25,widget-b,APAC,53,1297.48
2026-01-20,gadget-x,APAC,34,1502.43
2026-02-24,gadget-y,APAC,79,1659.98
2026-03-29,gadget-x,US,53,1699.93
2026-03-13,gadget-x,US,48,1552.98
2026-03-03,widget-c,APAC,74,1758.55
2026-04-01,gadget-x,US,85,1254.04
2026-01-30,gadget-x,US,13,241.39
2026-02-21,widget-c,EU,21,536.64
2026-03-23,widget-a,EU,19,548.28
2026-03-18,gadget-x,EU,9,184.62
2026-02-17,widget-a,EU,93,2358.76
2026-02-21,gadget-y,APAC,92,4464.87
2026-01-08,widget-b,LATAM,57,593.85
2026-03-26,gadget-y,APAC,25,283.36
2026-03-18,gadget-y,US,79,1324.78
2026-01-05,widget-c,US,84,840.13
2026-01-21,widget-a,APAC,100,2596.73
2026-03-27,gadget-x,LATAM,76,1368.18
2026-01-02,widget-a,EU,71,1517.25
2026-03-13,gadget-y,APAC,45,2183.47
2026-02-05,widget-b,US,59,2783.53
2026-03-15,widget-a,APAC,23,604.33
2026-01-14,gadget-y,EU,65,1414.4
2026-01-15,gadget-y,APAC,69,2933.6
2026-03-15,widget-c,LATAM,49,1593.32
2026-04-09,widget-b,APAC,100,2834.39
2026-02-28,gadget-y,EU,62,907.73
2026-01-09,gadget-x,US,87,3309.22
2026-02-10,gadget-x,APAC,67,2104.88
2026-03-31,widget-c,US,37,507.28
2026-03-28,widget-c,EU,71,3354.46
2026-03-02,widget-c,APAC,28,1281.35
2026-02-04,widget-b,US,64,2526.37
2026-01-31,widget-b,APAC,27,517.27
2026-02-01,gadget-y,APAC,20,822.95
2026-01-16,widget-a,LATAM,79,810.14
2026-03-11,widget-a,LATAM,48,1671.2
2026-03-05,gadget-y,APAC,63,1090.21
2026-04-08,gadget-y,APAC,51,962.56
2026-03-15,widget-b,EU,68,2853.33
2026-03-03,gadget-y,EU,65,1552.3
2026-03-29,widget-b,LATAM,16,606.72
2026-02-28,widget-c,EU,2,73.91
2026-02-18,gadget-y,EU,42,1027.07
2026-02-03,widget-b,APAC,31,643.76
2026-03-20,widget-c,APAC,24,718.58
2026-01-27,gadget-x,APAC,47,2075.66
2026-02-05,gadget-x,US,74,1127.43
2026-03-15,widget-b,EU,93,1933.28
2026-01-31,gadget-y,LATAM,49,873.79
2026-04-05,widget-b,LATAM,2,34.11
2026-03-05,widget-b,APAC,63,1385.46
2026-03-13,gadget-y,EU,51,711.4
2026-01-21,widget-a,US,33,958.7
2026-03-22,widget-a,LATAM,96,2244.12
2026-02-16,widget-c,APAC,45,485.25
2026-01-16,widget-c,US,74,2443.91
2026-03-25,gadget-y,US,100,2137.43
2026-02-11,gadget-y,LATAM,100,3945.1
2026-01-11,gadget-x,APAC,60,2115.51
2026-01-19,widget-b,APAC,54,1903.01
2026-03-15,gadget-x,EU,11,181.17
2026-01-30,widget-c,APAC,84,1818.12
2026-02-04,gadget-y,LATAM,35,1592.42
2026-04-10,widget-c,LATAM,53,884.18
2026-01-03,widget-b,US,85,1704.75
2026-04-06,widget-a,US,22,569.18
2026-01-13,widget-a,LATAM,71,862.15
2026-04-09,gadget-x,EU,14,286.83
2026-01-20,widget-a,LATAM,40,766.57
2026-04-05,widget-c,LATAM,81,1218.76
2026-03-09,widget-b,EU,5,182.66
2026-02-11,gadget-x,LATAM,70,3316.9
2026-03-12,gadget-x,US,90,2840.54
2026-03-17,gadget-y,LATAM,81,3235.66
2026-03-14,gadget-x,APAC,45,1316.52
2026-01-30,widget-a,LATAM,40,984.85
2026-02-03,widget-b,APAC,2,19.99
2026-04-08,widget-b,APAC,37,1064.04
2026-01-02,gadget-x,LATAM,39,403.86
2026-02-25,widget-c,US,1,31.92
2026-01-25,gadget-x,LATAM,51,1019.28
2026-04-02,gadget-x,LATAM,29,594.77
2026-02-24,widget-b,APAC,37,1329.35
2026-03-10,widget-c,LATAM,25,1103.23
2026-01-24,widget-b,APAC,15,531.99
2026-03-21,gadget-x,APAC,90,3141.01
2026-01-25,widget-c,EU,20,239.51
2026-03-10,widget-a,US,14,297.84
2026-01-17,gadget-x,EU,30,407.94
2026-01-02,gadget-x,US,44,1179.19
2026-04-11,gadget-x,APAC,60,2272.04
2026-01-05,widget-c,EU,97,4661.41
2026-01-08,widget-c,LATAM,10,317.18
2026-01-24,widget-b,APAC,49,2112.88
2026-01-16,widget-b,LATAM,99,4849.9
2026-02-01,widget-a,US,59,2324.77
2026-01-13,gadget-y,US,61,1558.85
2026-02-09,widget-c,US,81,3168.68
2026-04-06,gadget-y,EU,33,964.89
2026-02-08,widget-b,APAC,7,311.75
2026-01-28,widget-a,US,82,2243.23
2026-01-02,widget-b,APAC,75,1108.2
2026-02-01,widget-a,EU,75,3099.68
2026-03-02,gadget-y,US,48,1959.45
2026-02-01,widget-b,LATAM,12,449.13
2026-02-13,widget-a,EU,46,1645.56
2026-03-31,gadget-y,EU,17,501.56
2026-02-10,gadget-y,APAC,57,2241.1
2026-01-03,gadget-x,APAC,93,1430.27
2026-01-06,gadget-x,LATAM,72,1568.06
2026-03-31,gadget-x,US,73,1274.22
2026-02-14,widget-c,LATAM,36,1609.07
2026-03-18,gadget-y,US,9,281.12
2026-02-27,widget-c,APAC,70,1727.22
2026-01-01,gadget-y,LATAM,94,1636.67
2026-01-03,gadget-y,APAC,100,3479.79
2026-02-11,widget-a,LATAM,25,773.82
2026-03-05,gadget-y,US,79,1683.9
2026-02-22,widget-c,EU,13,401.93
2026-01-09,widget-a,US,23,1033.38
2026-01-26,widget-a,LATAM,25,348.5
2026-03-15,gadget-x,LATAM,68,2376.52
2026-03-17,widget-c,EU,47,884.49
2026-04-02,widget-a,EU,27,977.94
2026-01-11,gadget-x,EU,47,1518.61
2026-02-23,widget-c,EU,79,1629.19
2026-01-06,widget-a,APAC,10,477.74
2026-03-08,widget-a,EU,93,1788.46
2026-02-19,widget-b,US,68,2466.02
2026-03-14,widget-b,LATAM,96,1364.21
2026-03-23,gadget-y,APAC,87,2465.48
2026-03-27,gadget-x,EU,22,917.15
2026-03-12,gadget-x,APAC,85,1386.95
2026-03-18,gadget-x,APAC,41,1311.72
2026-02-11,widget-c,LATAM,98,3461.32
2026-04-03,widget-c,US,73,2322.5
2026-02-18,gadget-y,APAC,47,2277.44
2026-02-27,gadget-x,EU,93,1058.02
2026-02-06,gadget-y,EU,67,1031.36
2026-02-08,widget-a,APAC,29,538.9
2026-02-10,widget-a,APAC,71,2161.3
2026-03-15,gadget-y,US,13,149.49
2026-02-15,widget-b,US,34,838.89
2026-03-16,widget-b,US,33,1400.29
2026-01-12,gadget-y,LATAM,73,3409.48
2026-04-04,widget-a,APAC,62,1048.18
2026-03-30,gadget-y,EU,77,2747.37
2026-01-05,gadget-y,LATAM,11,453.14
2026-04-09,widget-c,APAC,56,1492.45
2026-01-16,widget-b,EU,82,3369.11
2026-02-18,widget-a,APAC,68,791.34
2026-03-11,gadget-y,US,42,1263.61
2026-01-29,widget-b,EU,87,3415.02
2026-02-20,gadget-x,EU,29,790.76
2026-04-11,gadget-x,US,17,398.42
2026-03-02,gadget-y,EU,71,1842.99
2026-01-11,gadget-x,LATAM,100,3790.48
2026-04-08,widget-b,LATAM,72,1289.83
2026-02-20,gadget-y,US,72,2493.35
2026-04-05,gadget-y,US,32,411.38
2026-04-10,gadget-x,APAC,88,4132.09
2026-01-12,widget-a,LATAM,55,1353.04
2026-01-25,widget-c,APAC,77,2787.89
2026-04-09,widget-c,US,45,1558.75
2026-02-26,gadget-y,US,57,671.75
2026-01-30,widget-b,APAC,20,805.99
2026-01-11,widget-a,EU,32,1534.32
2026-01-19,widget-c,EU,44,1660.64
2026-01-15,widget-c,LATAM,61,664.9
2026-01-27,gadget-y,US,27,859.87
2026-04-07,widget-c,LATAM,80,3134.96
2026-01-19,widget-a,LATAM,75,3467.37
2026-03-09,widget-a,APAC,22,272.68
2026-01-26,gadget-y,APAC,7,200.12
2026-01-02,widget-a,LATAM,85,1771.61
2026-03-26,widget-c,EU,3,65.07
2026-03-25,gadget-x,US,49,1486.25
2026-04-01,widget-a,APAC,63,2813.64
2026-03-10,widget-a,US,26,780.42
2026-02-28,gadget-y,EU,6,119.31
2026-03-09,widget-c,APAC,63,1620.74
2026-01-21,widget-a,APAC,88,2117.85
2026-03-22,widget-c,US,65,1366.63
2026-01-08,widget-c,LATAM,4,191.02
2026-02-05,widget-b,US,44,2018.59
2026-03-26,widget-b,EU,94,2376.16
2026-03-28,gadget-y,US,54,1058.64
2026-01-20,gadget-x,APAC,78,1806.59
2026-03-11,widget-b,US,84,1304.78
2026-03-11,widget-b,US,40,1501.25
2026-03-09,widget-b,LATAM,99,1563.81
2026-03-14,widget-b,APAC,9,290.55
2026-04-03,widget-a,US,41,1786.41
2026-01-19,widget-a,APAC,53,2567.21
2026-02-08,gadget-x,APAC,20,823.09
2026-01-14,widget-b,US,4,161.95
2026-03-20,gadget-y,APAC,78,2548.39
2026-01-30,gadget-y,US,30,1124.55
2026-02-15,widget-a,LATAM,18,541.49
2026-03-19,gadget-x,APAC,24,1057.8
2026-03-04,gadget-x,US,21,372.13
2026-01-05,gadget-x,EU,35,1679.93
2026-01-29,widget-b,US,9,153.66
2026-02-26,gadget-y,LATAM,89,2045.74
2026-02-28,widget-b,LATAM,52,2134.01
2026-03-19,gadget-x,APAC,51,1756.96
2026-04-06,gadget-y,EU,67,962.3
2026-02-28,widget-a,US,67,2110.82
2026-04-05,widget-a,LATAM,67,2719.96
2026-01-07,widget-b,APAC,57,1476.96
2026-02-08,widget-c,LATAM,22,591.55
2026-03-20,widget-a,US,60,2591.14
2026-02-27,widget-a,EU,24,987.34
2026-03-31,gadget-y,US,51,1353.15
2026-02-27,widget-a,US,59,1982.55
2026-04-02,widget-b,LATAM,12,239.92
2026-03-30,widget-b,EU,12,174.68
2026-02-27,widget-c,EU,68,2603.12
2026-04-04,gadget-y,US,49,1568.19
2026-01-06,widget-b,APAC,73,3273.48
2026-01-20,widget-b,US,23,937.39
2026-01-07,gadget-x,APAC,40,1567.86
2026-02-27,widget-c,US,16,734.91
2026-01-26,widget-a,APAC,2,56.67
2026-03-05,gadget-y,EU,78,3533.25
2026-01-31,widget-b,LATAM,59,1557.37
2026-01-11,gadget-y,EU,32,1448.85
2026-02-05,gadget-y,US,7,121.69
2026-01-08,widget-c,EU,19,838.72
2026-03-27,gadget-y,APAC,43,2012.63
2026-01-07,widget-a,LATAM,23,378.2
2026-02-06,gadget-y,US,59,2357.84
2026-02-16,widget-a,EU,99,2174.22
2026-02-17,gadget-x,EU,98,2654.13
2026-03-12,widget-a,APAC,61,937.68
2026-03-30,widget-c,APAC,68,1804.74
2026-01-27,widget-b,EU,14,459.83
2026-03-22,gadget-y,EU,62,2415.08
2026-03-19,widget-c,LATAM,78,3424.35
2026-02-03,gadget-y,APAC,17,587.55
2026-03-05,gadget-y,LATAM,64,2707.79
2026-03-20,widget-b,APAC,25,251.33
2026-01-04,gadget-x,EU,95,4171.72
2026-03-20,gadget-x,LATAM,6,140.05
2026-03-13,widget-b,EU,82,1479.07
2026-02-06,widget-c,EU,40,880.05
2026-03-12,widget-c,EU,15,561.35
2026-02-13,gadget-x,EU,23,408.26
2026-02-13,gadget-x,LATAM,5,179.08
2026-03-03,widget-b,LATAM,69,3162.07
